variable,refVarGroup,.buildingType,vin,.variableBrick,.comment,.color
before1945,Res,residential,before1945,v_stock,,Before 1945
1945-1969,Res,residential,1945-1969,v_stock,,1945 - 1969
1970-1979,Res,residential,1970-1979,v_stock,,1970 - 1979
1980-1989,Res,residential,1980-1989,v_stock,,1980 - 1989
1990-1999,Res,residential,1990-1999,v_stock,,1990 - 1999
2000-2010,Res,residential,2000-2010,v_stock,,2000 - 2010
2011-2020,Res,residential,2011-2020,v_stock,,2011 - 2020
2021-2030,Res,residential,2021-2030,v_stock,,2021 - 2030
