variable,refVarGroup,.hs,sec,vin,hs
Com_before1945_other,Com_before1945,Sonstige,Com,before1945,reel
Com_1945-1969_other,Com_1945-1969,Sonstige,Com,1945-1969,reel
Com_1970-1979_other,Com_1970-1979,Sonstige,Com,1970-1979,reel
Com_1980-1989_other,Com_1980-1989,Sonstige,Com,1980-1989,reel
Com_1990-1999_other,Com_1990-1999,Sonstige,Com,1990-1999,reel
Com_2000-2010_other,Com_2000-2010,Sonstige,Com,2000-2010,reel
Com_2011-2020_other,Com_2011-2020,Sonstige,Com,2011-2020,reel
Com_before1945_other,Com_before1945,Sonstige,Com,before1945,sobo
Com_1945-1969_other,Com_1945-1969,Sonstige,Com,1945-1969,sobo
Com_1970-1979_other,Com_1970-1979,Sonstige,Com,1970-1979,sobo
Com_1980-1989_other,Com_1980-1989,Sonstige,Com,1980-1989,sobo
Com_1990-1999_other,Com_1990-1999,Sonstige,Com,1990-1999,sobo
Com_2000-2010_other,Com_2000-2010,Sonstige,Com,2000-2010,sobo
Com_2011-2020_other,Com_2011-2020,Sonstige,Com,2011-2020,sobo
Com_before1945_other,Com_before1945,Sonstige,Com,before1945,h2bo
Com_1945-1969_other,Com_1945-1969,Sonstige,Com,1945-1969,h2bo
Com_1970-1979_other,Com_1970-1979,Sonstige,Com,1970-1979,h2bo
Com_1980-1989_other,Com_1980-1989,Sonstige,Com,1980-1989,h2bo
Com_1990-1999_other,Com_1990-1999,Sonstige,Com,1990-1999,h2bo
Com_2000-2010_other,Com_2000-2010,Sonstige,Com,2000-2010,h2bo
Com_2011-2020_other,Com_2011-2020,Sonstige,Com,2011-2020,h2bo
Com_before1945_ehp1,Com_before1945,Wärmepumpe,Com,before1945,ehp1
Com_1945-1969_ehp1,Com_1945-1969,Wärmepumpe,Com,1945-1969,ehp1
Com_1970-1979_ehp1,Com_1970-1979,Wärmepumpe,Com,1970-1979,ehp1
Com_1980-1989_ehp1,Com_1980-1989,Wärmepumpe,Com,1980-1989,ehp1
Com_1990-1999_ehp1,Com_1990-1999,Wärmepumpe,Com,1990-1999,ehp1
Com_2000-2010_ehp1,Com_2000-2010,Wärmepumpe,Com,2000-2010,ehp1
Com_2011-2020_ehp1,Com_2011-2020,Wärmepumpe,Com,2011-2020,ehp1
Com_before1945_libo,Com_before1945,Heizöl,Com,before1945,libo
Com_1945-1969_libo,Com_1945-1969,Heizöl,Com,1945-1969,libo
Com_1970-1979_libo,Com_1970-1979,Heizöl,Com,1970-1979,libo
Com_1980-1989_libo,Com_1980-1989,Heizöl,Com,1980-1989,libo
Com_1990-1999_libo,Com_1990-1999,Heizöl,Com,1990-1999,libo
Com_2000-2010_libo,Com_2000-2010,Heizöl,Com,2000-2010,libo
Com_2011-2020_libo,Com_2011-2020,Heizöl,Com,2011-2020,libo
Com_before1945_gabo,Com_before1945,Erdgas,Com,before1945,gabo
Com_1945-1969_gabo,Com_1945-1969,Erdgas,Com,1945-1969,gabo
Com_1970-1979_gabo,Com_1970-1979,Erdgas,Com,1970-1979,gabo
Com_1980-1989_gabo,Com_1980-1989,Erdgas,Com,1980-1989,gabo
Com_1990-1999_gabo,Com_1990-1999,Erdgas,Com,1990-1999,gabo
Com_2000-2010_gabo,Com_2000-2010,Erdgas,Com,2000-2010,gabo
Com_2011-2020_gabo,Com_2011-2020,Erdgas,Com,2011-2020,gabo
