variable,refVarGroup,hs,.comment
reel,all,reel,
ehp1,all,ehp1,
biom,all,biom,
sobo,all,sobo,
gabo,all,gabo,
dihe,all,dihe,
libo,all,libo,
h2bo,all,h2bo,not in the data and filled with zero
