variable,typ,vin
MFH_before1945,MFH,before1945
MFH_1945-1969,MFH,1945-1969
MFH_1970-1979,MFH,1970-1979
MFH_1980-1989,MFH,1980-1989
MFH_1990-1999,MFH,1990-1999
MFH_2000-2010,MFH,2000-2010
MFH_2011-2020,MFH,2011-2020
SFH_before1945,SFH,before1945
SFH_1945-1969,SFH,1945-1969
SFH_1970-1979,SFH,1970-1979
SFH_1980-1989,SFH,1980-1989
SFH_1990-1999,SFH,1990-1999
SFH_2000-2010,SFH,2000-2010
SFH_2011-2020,SFH,2011-2020
