cohortCode;cohort
s1;Slum
s1;Existing <1945
s2;Existing 1946-1990
s3;Existing 1991-2015
s51_std;New - standard
s51_std;Renovated - standard
s52_low;New - advanced
s52_low;Renovated - advanced
