variable,typ,vin
Com_before1945,Com,before1945
Com_1945-1969,Com,1945-1969
Com_1970-1979,Com,1970-1979
Com_1980-1989,Com,1980-1989
Com_1990-1999,Com,1990-1999
Com_2000-2010,Com,2000-2010
Com_post2010,Com,2011-2020
Res_before1945,Res,before1945
Res_1945-1969,Res,1945-1969
Res_1970-1979,Res,1970-1979
Res_1980-1989,Res,1980-1989
Res_1990-1999,Res,1990-1999
Res_2000-2010,Res,2000-2010
Res_post2010,Res,2011-2020
