variable,.dwel,.size,.variableTitle,.variable_Brick,typ,.comment,.color
SFH,nbrmpn,surmpn,Construction of single family dwellings_Floor area of new singlefamily dwellings,v_construction,SFH,,SFH
MFH,nbripn,suripn,Construction of multifamily dwellings_Floor area of new multifamily dwellings,v_construction,MFH,,MFH
