"region","regionTarget"
"AFG","GLO"
"ALA","GLO"
"ALB","GLO"
"DZA","GLO"
"ASM","GLO"
"AND","GLO"
"AGO","GLO"
"AIA","GLO"
"ATA","GLO"
"ATG","GLO"
"ARG","GLO"
"ARM","GLO"
"ABW","GLO"
"AUS","GLO"
"AUT","GLO"
"AZE","GLO"
"BHS","GLO"
"BHR","GLO"
"BGD","GLO"
"BRB","GLO"
"BLR","GLO"
"BEL","GLO"
"BLZ","GLO"
"BEN","GLO"
"BMU","GLO"
"BTN","GLO"
"BOL","GLO"
"BES","GLO"
"BIH","GLO"
"BWA","GLO"
"BVT","GLO"
"BRA","GLO"
"IOT","GLO"
"BRN","GLO"
"BGR","GLO"
"BFA","GLO"
"BDI","GLO"
"KHM","GLO"
"CMR","GLO"
"CAN","GLO"
"CPV","GLO"
"CYM","GLO"
"CAF","GLO"
"TCD","GLO"
"CHL","GLO"
"CHN","GLO"
"CXR","GLO"
"CCK","GLO"
"COL","GLO"
"COM","GLO"
"COG","GLO"
"COD","GLO"
"COK","GLO"
"CRI","GLO"
"CIV","GLO"
"HRV","GLO"
"CUB","GLO"
"CUW","GLO"
"CYP","GLO"
"CZE","GLO"
"DNK","GLO"
"DJI","GLO"
"DMA","GLO"
"DOM","GLO"
"ECU","GLO"
"EGY","GLO"
"SLV","GLO"
"GNQ","GLO"
"ERI","GLO"
"EST","GLO"
"ETH","GLO"
"FLK","GLO"
"FRO","GLO"
"FJI","GLO"
"FIN","GLO"
"FRA","GLO"
"GUF","GLO"
"PYF","GLO"
"ATF","GLO"
"GAB","GLO"
"GMB","GLO"
"GEO","GLO"
"DEU","GLO"
"GHA","GLO"
"GIB","GLO"
"GRC","GLO"
"GRL","GLO"
"GRD","GLO"
"GLP","GLO"
"GUM","GLO"
"GTM","GLO"
"GGY","GLO"
"GIN","GLO"
"GNB","GLO"
"GUY","GLO"
"HTI","GLO"
"HMD","GLO"
"VAT","GLO"
"HND","GLO"
"HKG","GLO"
"HUN","GLO"
"ISL","GLO"
"IND","GLO"
"IDN","GLO"
"IRN","GLO"
"IRQ","GLO"
"IRL","GLO"
"IMN","GLO"
"ISR","GLO"
"ITA","GLO"
"JAM","GLO"
"JPN","GLO"
"JEY","GLO"
"JOR","GLO"
"KAZ","GLO"
"KEN","GLO"
"KIR","GLO"
"PRK","GLO"
"KOR","GLO"
"KWT","GLO"
"KGZ","GLO"
"LAO","GLO"
"LVA","GLO"
"LBN","GLO"
"LSO","GLO"
"LBR","GLO"
"LBY","GLO"
"LIE","GLO"
"LTU","GLO"
"LUX","GLO"
"MAC","GLO"
"MKD","GLO"
"MDG","GLO"
"MWI","GLO"
"MYS","GLO"
"MDV","GLO"
"MLI","GLO"
"MLT","GLO"
"MHL","GLO"
"MTQ","GLO"
"MRT","GLO"
"MUS","GLO"
"MYT","GLO"
"MEX","GLO"
"FSM","GLO"
"MDA","GLO"
"MCO","GLO"
"MNG","GLO"
"MNE","GLO"
"MSR","GLO"
"MAR","GLO"
"MOZ","GLO"
"MMR","GLO"
"NAM","GLO"
"NRU","GLO"
"NPL","GLO"
"NLD","GLO"
"NCL","GLO"
"NZL","GLO"
"NIC","GLO"
"NER","GLO"
"NGA","GLO"
"NIU","GLO"
"NFK","GLO"
"MNP","GLO"
"NOR","GLO"
"OMN","GLO"
"PAK","GLO"
"PLW","GLO"
"PSE","GLO"
"PAN","GLO"
"PNG","GLO"
"PRY","GLO"
"PER","GLO"
"PHL","GLO"
"PCN","GLO"
"POL","GLO"
"PRT","GLO"
"PRI","GLO"
"QAT","GLO"
"REU","GLO"
"ROU","GLO"
"RUS","GLO"
"RWA","GLO"
"BLM","GLO"
"SHN","GLO"
"KNA","GLO"
"LCA","GLO"
"MAF","GLO"
"SPM","GLO"
"VCT","GLO"
"WSM","GLO"
"SMR","GLO"
"STP","GLO"
"SAU","GLO"
"SEN","GLO"
"SRB","GLO"
"SYC","GLO"
"SLE","GLO"
"SGP","GLO"
"SXM","GLO"
"SVK","GLO"
"SVN","GLO"
"SLB","GLO"
"SOM","GLO"
"ZAF","GLO"
"SGS","GLO"
"SSD","GLO"
"ESP","GLO"
"LKA","GLO"
"SDN","GLO"
"SUR","GLO"
"SJM","GLO"
"SWZ","GLO"
"SWE","GLO"
"CHE","GLO"
"SYR","GLO"
"TWN","GLO"
"TJK","GLO"
"TZA","GLO"
"THA","GLO"
"TLS","GLO"
"TGO","GLO"
"TKL","GLO"
"TON","GLO"
"TTO","GLO"
"TUN","GLO"
"TUR","GLO"
"TKM","GLO"
"TCA","GLO"
"TUV","GLO"
"UGA","GLO"
"UKR","GLO"
"ARE","GLO"
"GBR","GLO"
"USA","GLO"
"UMI","GLO"
"URY","GLO"
"UZB","GLO"
"VUT","GLO"
"VEN","GLO"
"VNM","GLO"
"VGB","GLO"
"VIR","GLO"
"WLF","GLO"
"ESH","GLO"
"YEM","GLO"
"ZMB","GLO"
"ZWE","GLO"
